"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
"Total"	"New Jersey"	"34"	"1999"	"1999"			1226	8359592	14.67	14.27
	"New Jersey"	"34"	"2000"	"2000"	"Drug-induced causes"	"D"	795	8414350	9.45	9.30
	"New Jersey"	"34"	"2000"	"2000"	"Alcohol-induced causes"	"A"	510	8414350	6.06	5.86
"Total"	"New Jersey"	"34"	"2000"	"2000"			1305	8414350	15.51	15.15
	"New Jersey"	"34"	"2001"	"2001"	"Drug-induced causes"	"D"	796	8492671	9.37	9.19
	"New Jersey"	"34"	"2001"	"2001"	"Alcohol-induced causes"	"A"	500	8492671	5.89	5.65
"Total"	"New Jersey"	"34"	"2001"	"2001"			1296	8492671	15.26	14.85
	"New Jersey"	"34"	"2002"	"2002"	"Drug-induced causes"	"D"	885	8552643	10.35	10.16
	"New Jersey"	"34"	"2002"	"2002"	"Alcohol-induced causes"	"A"	495	8552643	5.79	5.50
"Total"	"New Jersey"	"34"	"2002"	"2002"			1380	8552643	16.14	15.64
	"New Jersey"	"34"	"2003"	"2003"	"Drug-induced causes"	"D"	792	8601402	9.21	9.10
	"New Jersey"	"34"	"2003"	"2003"	"Alcohol-induced causes"	"A"	439	8601402	5.10	4.84
"Total"	"New Jersey"	"34"	"2003"	"2003"			1231	8601402	14.31	13.92
	"New Jersey"	"34"	"2004"	"2004"	"Drug-induced causes"	"D"	711	8634561	8.23	8.11
	"New Jersey"	"34"	"2004"	"2004"	"Alcohol-induced causes"	"A"	476	8634561	5.51	5.16
"Total"	"New Jersey"	"34"	"2004"	"2004"			1187	8634561	13.75	13.26
	"New Jersey"	"34"	"2005"	"2005"	"Drug-induced causes"	"D"	966	8651974	11.17	11.01
	"New Jersey"	"34"	"2005"	"2005"	"Alcohol-induced causes"	"A"	486	8651974	5.62	5.20
"Total"	"New Jersey"	"34"	"2005"	"2005"			1452	8651974	16.78	16.21
	"New Jersey"	"34"	"2006"	"2006"	"Drug-induced causes"	"D"	1009	8661679	11.65	11.44
	"New Jersey"	"34"	"2006"	"2006"	"Alcohol-induced causes"	"A"	466	8661679	5.38	4.94
"Total"	"New Jersey"	"34"	"2006"	"2006"			1475	8661679	17.03	16.39
	"New Jersey"	"34"	"2007"	"2007"	"Drug-induced causes"	"D"	797	8677885	9.18	9.13
	"New Jersey"	"34"	"2007"	"2007"	"Alcohol-induced causes"	"A"	414	8677885	4.77	4.34
"Total"	"New Jersey"	"34"	"2007"	"2007"			1211	8677885	13.96	13.46
	"New Jersey"	"34"	"2008"	"2008"	"Drug-induced causes"	"D"	808	8711090	9.28	9.10
	"New Jersey"	"34"	"2008"	"2008"	"Alcohol-induced causes"	"A"	504	8711090	5.79	5.24
"Total"	"New Jersey"	"34"	"2008"	"2008"			1312	8711090	15.06	14.34
	"New Jersey"	"34"	"2009"	"2009"	"Drug-induced causes"	"D"	343	8755602	3.92	3.86
	"New Jersey"	"34"	"2009"	"2009"	"Alcohol-induced causes"	"A"	395	8755602	4.51	3.98
"Total"	"New Jersey"	"34"	"2009"	"2009"			738	8755602	8.43	7.84
	"New Jersey"	"34"	"2010"	"2010"	"Drug-induced causes"	"D"	903	8791894	10.27	10.13
	"New Jersey"	"34"	"2010"	"2010"	"Alcohol-induced causes"	"A"	548	8791894	6.23	5.56
"Total"	"New Jersey"	"34"	"2010"	"2010"			1451	8791894	16.50	15.70
	"New Jersey"	"34"	"2011"	"2011"	"Drug-induced causes"	"D"	1042	8821155	11.81	11.64
	"New Jersey"	"34"	"2011"	"2011"	"Alcohol-induced causes"	"A"	584	8821155	6.62	5.75
"Total"	"New Jersey"	"34"	"2011"	"2011"			1626	8821155	18.43	17.38
	"New Jersey"	"34"	"2012"	"2012"	"Drug-induced causes"	"D"	1268	8864590	14.30	14.23
	"New Jersey"	"34"	"2012"	"2012"	"Alcohol-induced causes"	"A"	504	8864590	5.69	5.02
"Total"	"New Jersey"	"34"	"2012"	"2012"			1772	8864590	19.99	19.26
	"New Jersey"	"34"	"2013"	"2013"	"Drug-induced causes"	"D"	1331	8899339	14.96	14.86
	"New Jersey"	"34"	"2013"	"2013"	"Alcohol-induced causes"	"A"	551	8899339	6.19	5.39
"Total"	"New Jersey"	"34"	"2013"	"2013"			1882	8899339	21.15	20.26
	"New Jersey"	"34"	"2014"	"2014"	"Drug-induced causes"	"D"	1303	8938175	14.58	14.51
	"New Jersey"	"34"	"2014"	"2014"	"Alcohol-induced causes"	"A"	555	8938175	6.21	5.37
"Total"	"New Jersey"	"34"	"2014"	"2014"			1858	8938175	20.79	19.90
	"New Jersey"	"34"	"2015"	"2015"	"Drug-induced causes"	"D"	1506	8958013	16.81	16.90
	"New Jersey"	"34"	"2015"	"2015"	"Alcohol-induced causes"	"A"	527	8958013	5.88	5.15
"Total"	"New Jersey"	"34"	"2015"	"2015"			2033	8958013	22.69	22.04
	"New Jersey"	"34"	"2016"	"2016"	"Drug-induced causes"	"D"	2132	8944469	23.84	23.93
	"New Jersey"	"34"	"2016"	"2016"	"Alcohol-induced causes"	"A"	583	8944469	6.52	5.57
"Total"	"New Jersey"	"34"	"2016"	"2016"			2715	8944469	30.35	29.52
	"New Jersey"	"34"	"2017"	"2017"	"Drug-induced causes"	"D"	2752	9005644	30.56	30.71
	"New Jersey"	"34"	"2017"	"2017"	"Alcohol-induced causes"	"A"	647	9005644	7.18	6.25
"Total"	"New Jersey"	"34"	"2017"	"2017"			3399	9005644	37.74	36.97
"Total"	"New Jersey"	"34"					30549	165736728	18.43	17.79
	"New Mexico"	"35"	"1999"	"1999"	"Drug-induced causes"	"D"	275	1808082	15.21	15.53
	"New Mexico"	"35"	"1999"	"1999"	"Alcohol-induced causes"	"A"	293	1808082	16.21	16.77
"Total"	"New Mexico"	"35"	"1999"	"1999"			568	1808082	31.41	32.32
	"New Mexico"	"35"	"2000"	"2000"	"Drug-induced causes"	"D"	281	1819046	15.45	15.71
	"New Mexico"	"35"	"2000"	"2000"	"Alcohol-induced causes"	"A"	342	1819046	18.80	19.21
"Total"	"New Mexico"	"35"	"2000"	"2000"			623	1819046	34.25	34.95
	"New Mexico"	"35"	"2001"	"2001"	"Drug-induced causes"	"D"	277	1831690	15.12	15.43
	"New Mexico"	"35"	"2001"	"2001"	"Alcohol-induced causes"	"A"	331	1831690	18.07	18.18
"Total"	"New Mexico"	"35"	"2001"	"2001"			608	1831690	33.19	33.59
	"New Mexico"	"35"	"2002"	"2002"	"Drug-induced causes"	"D"	301	1855309	16.22	16.89
	"New Mexico"	"35"	"2002"	"2002"	"Alcohol-induced causes"	"A"	313	1855309	16.87	16.92
"Total"	"New Mexico"	"35"	"2002"	"2002"			614	1855309	33.09	33.81
	"New Mexico"	"35"	"2003"	"2003"	"Drug-induced causes"	"D"	373	1877574	19.87	20.52
	"New Mexico"	"35"	"2003"	"2003"	"Alcohol-induced causes"	"A"	360	1877574	19.17	19.00
"Total"	"New Mexico"	"35"	"2003"	"2003"			733	1877574	39.04	39.50
	"New Mexico"	"35"	"2004"	"2004"	"Drug-induced causes"	"D"	331	1903808	17.39	17.81
	"New Mexico"	"35"	"2004"	"2004"	"Alcohol-induced causes"	"A"	325	1903808	17.07	16.89
"Total"	"New Mexico"	"35"	"2004"	"2004"			656	1903808	34.46	34.71
	"New Mexico"	"35"	"2005"	"2005"	"Drug-induced causes"	"D"	385	1932274	19.92	20.72
	"New Mexico"	"35"	"2005"	"2005"	"Alcohol-induced causes"	"A"	319	1932274	16.51	16.22
"Total"	"New Mexico"	"35"	"2005"	"2005"			704	1932274	36.43	36.92
	"New Mexico"	"35"	"2006"	"2006"	"Drug-induced causes"	"D"	435	1962137	22.17	22.59
	"New Mexico"	"35"	"2006"	"2006"	"Alcohol-induced causes"	"A"	351	1962137	17.89	17.24
"Total"	"New Mexico"	"35"	"2006"	"2006"			786	1962137	40.06	39.83
	"New Mexico"	"35"	"2007"	"2007"	"Drug-induced causes"	"D"	471	1990070	23.67	23.84
	"New Mexico"	"35"	"2007"	"2007"	"Alcohol-induced causes"	"A"	404	1990070	20.30	19.58
"Total"	"New Mexico"	"35"	"2007"	"2007"			875	1990070	43.97	43.43
	"New Mexico"	"35"	"2008"	"2008"	"Drug-induced causes"	"D"	534	2010662	26.56	27.47
	"New Mexico"	"35"	"2008"	"2008"	"Alcohol-induced causes"	"A"	435	2010662	21.63	21.03
"Total"	"New Mexico"	"35"	"2008"	"2008"			969	2010662	48.19	48.49
	"New Mexico"	"35"	"2009"	"2009"	"Drug-induced causes"	"D"	447	2036802	21.95	22.51
	"New Mexico"	"35"	"2009"	"2009"	"Alcohol-induced causes"	"A"	426	2036802	20.92	20.36
"Total"	"New Mexico"	"35"	"2009"	"2009"			873	2036802	42.86	42.86
	"New Mexico"	"35"	"2010"	"2010"	"Drug-induced causes"	"D"	487	2059179	23.65	24.30
	"New Mexico"	"35"	"2010"	"2010"	"Alcohol-induced causes"	"A"	425	2059179	20.64	19.70
"Total"	"New Mexico"	"35"	"2010"	"2010"			912	2059179	44.29	43.98
	"New Mexico"	"35"	"2011"	"2011"	"Drug-induced causes"	"D"	537	2082224	25.79	26.71
	"New Mexico"	"35"	"2011"	"2011"	"Alcohol-induced causes"	"A"	482	2082224	23.15	22.05
"Total"	"New Mexico"	"35"	"2011"	"2011"			1019	2082224	48.94	48.75
	"New Mexico"	"35"	"2012"	"2012"	"Drug-induced causes"	"D"	502	2085538	24.07	25.13
	"New Mexico"	"35"	"2012"	"2012"	"Alcohol-induced causes"	"A"	498	2085538	23.88	22.49
"Total"	"New Mexico"	"35"	"2012"	"2012"			1000	2085538	47.95	47.60
	"New Mexico"	"35"	"2013"	"2013"	"Drug-induced causes"	"D"	471	2085287	22.59	23.29
	"New Mexico"	"35"	"2013"	"2013"	"Alcohol-induced causes"	"A"	491	2085287	23.55	22.73
"Total"	"New Mexico"	"35"	"2013"	"2013"			962	2085287	46.13	46.00
	"New Mexico"	"35"	"2014"	"2014"	"Drug-induced causes"	"D"	559	2085572	26.80	27.90
	"New Mexico"	"35"	"2014"	"2014"	"Alcohol-induced causes"	"A"	516	2085572	24.74	23.82
"Total"	"New Mexico"	"35"	"2014"	"2014"			1075	2085572	51.54	51.73
	"New Mexico"	"35"	"2015"	"2015"	"Drug-induced causes"	"D"	516	2085109	24.75	26.01
	"New Mexico"	"35"	"2015"	"2015"	"Alcohol-induced causes"	"A"	656	2085109	31.46	30.83
"Total"	"New Mexico"	"35"	"2015"	"2015"			1172	2085109	56.21	56.84
	"New Mexico"	"35"	"2016"	"2016"	"Drug-induced causes"	"D"	525	2081015	25.23	26.34
	"New Mexico"	"35"	"2016"	"2016"	"Alcohol-induced causes"	"A"	669	2081015	32.15	30.24
"Total"	"New Mexico"	"35"	"2016"	"2016"			1194	2081015	57.38	56.56
	"New Mexico"	"35"	"2017"	"2017"	"Drug-induced causes"	"D"	515	2088070	24.66	25.97
	"New Mexico"	"35"	"2017"	"2017"	"Alcohol-induced causes"	"A"	659	2088070	31.56	30.59
"Total"	"New Mexico"	"35"	"2017"	"2017"			1174	2088070	56.22	56.57
"Total"	"New Mexico"	"35"					16517	37679448	43.84	43.96
	"New York"	"36"	"1999"	"1999"	"Drug-induced causes"	"D"	1102	18882725	5.84	5.78
	"New York"	"36"	"1999"	"1999"	"Alcohol-induced causes"	"A"	1242	18882725	6.58	6.56
"Total"	"New York"	"36"	"1999"	"1999"			2344	18882725	12.41	12.33
	"New York"	"36"	"2000"	"2000"	"Drug-induced causes"	"D"	901	18976457	4.75	4.68
	"New York"	"36"	"2000"	"2000"	"Alcohol-induced causes"	"A"	1159	18976457	6.11	6.04
"Total"	"New York"	"36"	"2000"	"2000"			2060	18976457	10.86	10.74
	"New York"	"36"	"2001"	"2001"	"Drug-induced causes"	"D"	1280	19082838	6.71	6.62
	"New York"	"36"	"2001"	"2001"	"Alcohol-induced causes"	"A"	1177	19082838	6.17	6.02
"Total"	"New York"	"36"	"2001"	"2001"			2457	19082838	12.88	12.63
	"New York"	"36"	"2002"	"2002"	"Drug-induced causes"	"D"	1118	19137800	5.84	5.78
	"New York"	"36"	"2002"	"2002"	"Alcohol-induced causes"	"A"	1099	19137800	5.74	5.57
"Total"	"New York"	"36"	"2002"	"2002"			2217	19137800	11.58	11.34
	"New York"	"36"	"2003"	"2003"	"Drug-induced causes"	"D"	1209	19175939	6.30	6.20
	"New York"	"36"	"2003"	"2003"	"Alcohol-induced causes"	"A"	1102	19175939	5.75	5.49
"Total"	"New York"	"36"	"2003"	"2003"			2311	19175939	12.05	11.71
	"New York"	"36"	"2004"	"2004"	"Drug-induced causes"	"D"	1068	19171567	5.57	5.43
	"New York"	"36"	"2004"	"2004"	"Alcohol-induced causes"	"A"	1065	19171567	5.56	5.27
"Total"	"New York"	"36"	"2004"	"2004"			2133	19171567	11.13	10.70
	"New York"	"36"	"2005"	"2005"	"Drug-induced causes"	"D"	1175	19132610	6.14	5.94
	"New York"	"36"	"2005"	"2005"	"Alcohol-induced causes"	"A"	1064	19132610	5.56	5.20
"Total"	"New York"	"36"	"2005"	"2005"			2239	19132610	11.70	11.17
	"New York"	"36"	"2006"	"2006"	"Drug-induced causes"	"D"	1949	19104631	10.20	9.92
	"New York"	"36"	"2006"	"2006"	"Alcohol-induced causes"	"A"	1101	19104631	5.76	5.34
"Total"	"New York"	"36"	"2006"	"2006"			3050	19104631	15.96	15.26
	"New York"	"36"	"2007"	"2007"	"Drug-induced causes"	"D"	1909	19132335	9.98	9.65
	"New York"	"36"	"2007"	"2007"	"Alcohol-induced causes"	"A"	1167	19132335	6.10	5.58
"Total"	"New York"	"36"	"2007"	"2007"			3076	19132335	16.08	15.23
	"New York"	"36"	"2008"	"2008"	"Drug-induced causes"	"D"	1856	19212436	9.66	9.36
	"New York"	"36"	"2008"	"2008"	"Alcohol-induced causes"	"A"	1249	19212436	6.50	5.93
"Total"	"New York"	"36"	"2008"	"2008"			3105	19212436	16.16	15.30
	"New York"	"36"	"2009"	"2009"	"Drug-induced causes"	"D"	1797	19307066	9.31	8.96
	"New York"	"36"	"2009"	"2009"	"Alcohol-induced causes"	"A"	1232	19307066	6.38	5.79
"Total"	"New York"	"36"	"2009"	"2009"			3029	19307066	15.69	14.73
	"New York"	"36"	"2010"	"2010"	"Drug-induced causes"	"D"	1760	19378102	9.08	8.78
	"New York"	"36"	"2010"	"2010"	"Alcohol-induced causes"	"A"	1217	19378102	6.28	5.67
"Total"	"New York"	"36"	"2010"	"2010"			2977	19378102	15.36	14.44
	"New York"	"36"	"2011"	"2011"	"Drug-induced causes"	"D"	2149	19465197	11.04	10.62
	"New York"	"36"	"2011"	"2011"	"Alcohol-induced causes"	"A"	1314	19465197	6.75	6.03
"Total"	"New York"	"36"	"2011"	"2011"			3463	19465197	17.79	16.63
	"New York"	"36"	"2012"	"2012"	"Drug-induced causes"	"D"	2262	19570261	11.56	11.13
	"New York"	"36"	"2012"	"2012"	"Alcohol-induced causes"	"A"	1393	19570261	7.12	6.34
"Total"	"New York"	"36"	"2012"	"2012"			3655	19570261	18.68	17.47
	"New York"	"36"	"2013"	"2013"	"Drug-induced causes"	"D"	2483	19651127	12.64	12.13
	"New York"	"36"	"2013"	"2013"	"Alcohol-induced causes"	"A"	1480	19651127	7.53	6.67
"Total"	"New York"	"36"	"2013"	"2013"			3963	19651127	20.17	18.82
	"New York"	"36"	"2014"	"2014"	"Drug-induced causes"	"D"	2510	19746227	12.71	12.27
	"New York"	"36"	"2014"	"2014"	"Alcohol-induced causes"	"A"	1403	19746227	7.11	6.23
"Total"	"New York"	"36"	"2014"	"2014"			3913	19746227	19.82	18.52
	"New York"	"36"	"2015"	"2015"	"Drug-induced causes"	"D"	3009	19795791	15.20	14.74
	"New York"	"36"	"2015"	"2015"	"Alcohol-induced causes"	"A"	1479	19795791	7.47	6.53
"Total"	"New York"	"36"	"2015"	"2015"			4488	19795791	22.67	21.29
	"New York"	"36"	"2016"	"2016"	"Drug-induced causes"	"D"	3894	19745289	19.72	19.23
	"New York"	"36"	"2016"	"2016"	"Alcohol-induced causes"	"A"	1559	19745289	7.90	6.92
"Total"	"New York"	"36"	"2016"	"2016"			5453	19745289	27.62	26.16
	"New York"	"36"	"2017"	"2017"	"Drug-induced causes"	"D"	4117	19849399	20.74	20.35
	"New York"	"36"	"2017"	"2017"	"Alcohol-induced causes"	"A"	1584	19849399	7.98	6.95
"Total"	"New York"	"36"	"2017"	"2017"			5701	19849399	28.72	27.31
"Total"	"New York"	"36"					61634	367517797	16.77	15.97
	"North Carolina"	"37"	"1999"	"1999"	"Drug-induced causes"	"D"	401	7949361	5.04	5.05
	"North Carolina"	"37"	"1999"	"1999"	"Alcohol-induced causes"	"A"	691	7949361	8.69	8.69
"Total"	"North Carolina"	"37"	"1999"	"1999"			1092	7949361	13.74	13.73
	"North Carolina"	"37"	"2000"	"2000"	"Drug-induced causes"	"D"	531	8049313	6.60	6.51
	"North Carolina"	"37"	"2000"	"2000"	"Alcohol-induced causes"	"A"	695	8049313	8.63	8.60
"Total"	"North Carolina"	"37"	"2000"	"2000"			1226	8049313	15.23	15.14
	"North Carolina"	"37"	"2001"	"2001"	"Drug-induced causes"	"D"	584	8210122	7.11	7.04
	"North Carolina"	"37"	"2001"	"2001"	"Alcohol-induced causes"	"A"	630	8210122	7.67	7.56
"Total"	"North Carolina"	"37"	"2001"	"2001"			1214	8210122	14.79	14.62
	"North Carolina"	"37"	"2002"	"2002"	"Drug-induced causes"	"D"	684	8326201	8.22	8.18
	"North Carolina"	"37"	"2002"	"2002"	"Alcohol-induced causes"	"A"	650	8326201	7.81	7.63
"Total"	"North Carolina"	"37"	"2002"	"2002"			1334	8326201	16.02	15.82
	"North Carolina"	"37"	"2003"	"2003"	"Drug-induced causes"	"D"	833	8422501	9.89	9.86
	"North Carolina"	"37"	"2003"	"2003"	"Alcohol-induced causes"	"A"	611	8422501	7.25	6.98
"Total"	"North Carolina"	"37"	"2003"	"2003"			1444	8422501	17.14	16.84
	"North Carolina"	"37"	"2004"	"2004"	"Drug-induced causes"	"D"	918	8553152	10.73	10.70
	"North Carolina"	"37"	"2004"	"2004"	"Alcohol-induced causes"	"A"	681	8553152	7.96	7.60
"Total"	"North Carolina"	"37"	"2004"	"2004"			1599	8553152	18.69	18.29
	"North Carolina"	"37"	"2005"	"2005"	"Drug-induced causes"	"D"	1061	8705407	12.19	12.09
	"North Carolina"	"37"	"2005"	"2005"	"Alcohol-induced causes"	"A"	616	8705407	7.08	6.67
"Total"	"North Carolina"	"37"	"2005"	"2005"			1677	8705407	19.26	18.77
	"North Carolina"	"37"	"2006"	"2006"	"Drug-induced causes"	"D"	1120	8917270	12.56	12.51
	"North Carolina"	"37"	"2006"	"2006"	"Alcohol-induced causes"	"A"	610	8917270	6.84	6.42
"Total"	"North Carolina"	"37"	"2006"	"2006"			1730	8917270	19.40	18.91
	"North Carolina"	"37"	"2007"	"2007"	"Drug-induced causes"	"D"	1125	9118037	12.34	12.31
	"North Carolina"	"37"	"2007"	"2007"	"Alcohol-induced causes"	"A"	676	9118037	7.41	6.87
"Total"	"North Carolina"	"37"	"2007"	"2007"			1801	9118037	19.75	19.17
	"North Carolina"	"37"	"2008"	"2008"	"Drug-induced causes"	"D"	1217	9309449	13.07	13.02
	"North Carolina"	"37"	"2008"	"2008"	"Alcohol-induced causes"	"A"	723	9309449	7.77	7.16
"Total"	"North Carolina"	"37"	"2008"	"2008"			1940	9309449	20.84	20.17
	"North Carolina"	"37"	"2009"	"2009"	"Drug-induced causes"	"D"	1223	9449566	12.94	12.94
	"North Carolina"	"37"	"2009"	"2009"	"Alcohol-induced causes"	"A"	714	9449566	7.56	6.93
"Total"	"North Carolina"	"37"	"2009"	"2009"			1937	9449566	20.50	19.85
	"North Carolina"	"37"	"2010"	"2010"	"Drug-induced causes"	"D"	1125	9535483	11.80	11.71
	"North Carolina"	"37"	"2010"	"2010"	"Alcohol-induced causes"	"A"	669	9535483	7.02	6.32
"Total"	"North Carolina"	"37"	"2010"	"2010"			1794	9535483	18.81	18.04
	"North Carolina"	"37"	"2011"	"2011"	"Drug-induced causes"	"D"	1303	9656401	13.49	13.42
	"North Carolina"	"37"	"2011"	"2011"	"Alcohol-induced causes"	"A"	731	9656401	7.57	6.77
"Total"	"North Carolina"	"37"	"2011"	"2011"			2034	9656401	21.06	20.21
	"North Carolina"	"37"	"2012"	"2012"	"Drug-induced causes"	"D"	1346	9752073	13.80	13.83
	"North Carolina"	"37"	"2012"	"2012"	"Alcohol-induced causes"	"A"	738	9752073	7.57	6.74
"Total"	"North Carolina"	"37"	"2012"	"2012"			2084	9752073	21.37	20.56
	"North Carolina"	"37"	"2013"	"2013"	"Drug-induced causes"	"D"	1308	9848060	13.28	13.37
	"North Carolina"	"37"	"2013"	"2013"	"Alcohol-induced causes"	"A"	855	9848060	8.68	7.64
"Total"	"North Carolina"	"37"	"2013"	"2013"			2163	9848060	21.96	21.02
	"North Carolina"	"37"	"2014"	"2014"	"Drug-induced causes"	"D"	1435	9943964	14.43	14.51
	"North Carolina"	"37"	"2014"	"2014"	"Alcohol-induced causes"	"A"	887	9943964	8.92	7.85
"Total"	"North Carolina"	"37"	"2014"	"2014"			2322	9943964	23.35	22.39
	"North Carolina"	"37"	"2015"	"2015"	"Drug-induced causes"	"D"	1636	10042802	16.29	16.43
	"North Carolina"	"37"	"2015"	"2015"	"Alcohol-induced causes"	"A"	915	10042802	9.11	7.95
"Total"	"North Carolina"	"37"	"2015"	"2015"			2551	10042802	25.40	24.38
	"North Carolina"	"37"	"2016"	"2016"	"Drug-induced causes"	"D"	2040	10146788	20.10	20.52
	"North Carolina"	"37"	"2016"	"2016"	"Alcohol-induced causes"	"A"	963	10146788	9.49	8.11
"Total"	"North Carolina"	"37"	"2016"	"2016"			3003	10146788	29.60	28.63
	"North Carolina"	"37"	"2017"	"2017"	"Drug-induced causes"	"D"	2515	10273419	24.48	25.06
	"North Carolina"	"37"	"2017"	"2017"	"Alcohol-induced causes"	"A"	1019	10273419	9.92	8.38
"Total"	"North Carolina"	"37"	"2017"	"2017"			3534	10273419	34.40	33.47
"Total"	"North Carolina"	"37"					36479	174209369	20.94	20.28
	"North Dakota"	"38"	"1999"	"1999"	"Drug-induced causes"	"D"	15	644259	Unreliable	Unreliable
	"North Dakota"	"38"	"1999"	"1999"	"Alcohol-induced causes"	"A"	52	644259	8.07	8.03
"Total"	"North Dakota"	"38"	"1999"	"1999"			67	644259	10.40	10.28
	"North Dakota"	"38"	"2000"	"2000"	"Drug-induced causes"	"D"	16	642200	Unreliable	Unreliable
	"North Dakota"	"38"	"2000"	"2000"	"Alcohol-induced causes"	"A"	49	642200	7.63	7.64
"Total"	"North Dakota"	"38"	"2000"	"2000"			65	642200	10.12	10.11
	"North Dakota"	"38"	"2001"	"2001"	"Drug-induced causes"	"D"	17	639062	Unreliable	Unreliable
	"North Dakota"	"38"	"2001"	"2001"	"Alcohol-induced causes"	"A"	68	639062	10.64	10.33
"Total"	"North Dakota"	"38"	"2001"	"2001"			85	639062	13.30	13.02
	"North Dakota"	"38"	"2002"	"2002"	"Drug-induced causes"	"D"	24	638168	3.76	3.56
	"North Dakota"	"38"	"2002"	"2002"	"Alcohol-induced causes"	"A"	70	638168	10.97	10.66
"Total"	"North Dakota"	"38"	"2002"	"2002"			94	638168	14.73	14.22
	"North Dakota"	"38"	"2003"	"2003"	"Drug-induced causes"	"D"	27	638817	4.23	4.16
	"North Dakota"	"38"	"2003"	"2003"	"Alcohol-induced causes"	"A"	75	638817	11.74	11.37
"Total"	"North Dakota"	"38"	"2003"	"2003"			102	638817	15.97	15.52
	"North Dakota"	"38"	"2004"	"2004"	"Drug-induced causes"	"D"	21	644705	3.26	3.13
	"North Dakota"	"38"	"2004"	"2004"	"Alcohol-induced causes"	"A"	62	644705	9.62	9.12
"Total"	"North Dakota"	"38"	"2004"	"2004"			83	644705	12.87	12.25
	"North Dakota"	"38"	"2005"	"2005"	"Drug-induced causes"	"D"	13	646089	Unreliable	Unreliable
	"North Dakota"	"38"	"2005"	"2005"	"Alcohol-induced causes"	"A"	75	646089	11.61	10.88
"Total"	"North Dakota"	"38"	"2005"	"2005"			88	646089	13.62	12.85
	"North Dakota"	"38"	"2006"	"2006"	"Drug-induced causes"	"D"	16	649422	Unreliable	Unreliable
	"North Dakota"	"38"	"2006"	"2006"	"Alcohol-induced causes"	"A"	64	649422	9.85	9.58
"Total"	"North Dakota"	"38"	"2006"	"2006"			80	649422	12.32	12.05
	"North Dakota"	"38"	"2007"	"2007"	"Drug-induced causes"	"D"	37	652822	5.67	5.44
	"North Dakota"	"38"	"2007"	"2007"	"Alcohol-induced causes"	"A"	57	652822	8.73	8.34
"Total"	"North Dakota"	"38"	"2007"	"2007"			94	652822	14.40	13.77
	"North Dakota"	"38"	"2008"	"2008"	"Drug-induced causes"	"D"	48	657569	7.30	7.66
	"North Dakota"	"38"	"2008"	"2008"	"Alcohol-induced causes"	"A"	80	657569	12.17	11.74
"Total"	"North Dakota"	"38"	"2008"	"2008"			128	657569	19.47	19.39
	"North Dakota"	"38"	"2009"	"2009"	"Drug-induced causes"	"D"	28	664968	4.21	4.54
	"North Dakota"	"38"	"2009"	"2009"	"Alcohol-induced causes"	"A"	70	664968	10.53	10.75
"Total"	"North Dakota"	"38"	"2009"	"2009"			98	664968	14.74	15.28
	"North Dakota"	"38"	"2010"	"2010"	"Drug-induced causes"	"D"	26	672591	3.87	3.90
	"North Dakota"	"38"	"2010"	"2010"	"Alcohol-induced causes"	"A"	78	672591	11.60	11.38
"Total"	"North Dakota"	"38"	"2010"	"2010"			104	672591	15.46	15.29
	"North Dakota"	"38"	"2011"	"2011"	"Drug-induced causes"	"D"	22	683932	3.22	2.92
	"North Dakota"	"38"	"2011"	"2011"	"Alcohol-induced causes"	"A"	98	683932	14.33	13.18
"Total"	"North Dakota"	"38"	"2011"	"2011"			120	683932	17.55	16.09
	"North Dakota"	"38"	"2012"	"2012"	"Drug-induced causes"	"D"	27	699628	3.86	3.96
	"North Dakota"	"38"	"2012"	"2012"	"Alcohol-induced causes"	"A"	108	699628	15.44	15.36
"Total"	"North Dakota"	"38"	"2012"	"2012"			135	699628	19.30	19.33
	"North Dakota"	"38"	"2013"	"2013"	"Drug-induced causes"	"D"	27	723393	3.73	3.77
	"North Dakota"	"38"	"2013"	"2013"	"Alcohol-induced causes"	"A"	100	723393	13.82	13.54
"Total"	"North Dakota"	"38"	"2013"	"2013"			127	723393	17.56	17.34
	"North Dakota"	"38"	"2014"	"2014"	"Drug-induced causes"	"D"	48	739482	6.49	6.95
	"North Dakota"	"38"	"2014"	"2014"	"Alcohol-induced causes"	"A"	93	739482	12.58	12.15
"Total"	"North Dakota"	"38"	"2014"	"2014"			141	739482	19.07	19.10
	"North Dakota"	"38"	"2015"	"2015"	"Drug-induced causes"	"D"	65	756927	8.59	9.08
	"North Dakota"	"38"	"2015"	"2015"	"Alcohol-induced causes"	"A"	96	756927	12.68	12.64
"Total"	"North Dakota"	"38"	"2015"	"2015"			161	756927	21.27	21.70
	"North Dakota"	"38"	"2016"	"2016"	"Drug-induced causes"	"D"	86	757952	11.35	11.68
	"North Dakota"	"38"	"2016"	"2016"	"Alcohol-induced causes"	"A"	113	757952	14.91	14.89
"Total"	"North Dakota"	"38"	"2016"	"2016"			199	757952	26.25	26.56
	"North Dakota"	"38"	"2017"	"2017"	"Drug-induced causes"	"D"	73	755393	9.66	9.84
	"North Dakota"	"38"	"2017"	"2017"	"Alcohol-induced causes"	"A"	111	755393	14.69	13.99
"Total"	"North Dakota"	"38"	"2017"	"2017"			184	755393	24.36	23.84
